Price,Adj Close,close,High,Low,Open,Volume,fwd_+1,fwd_+2,fwd_+3,fwd_+6,fwd_+12,change,Type,RunLenGroup,RunLen
Ticker,TIDLOR.BK,TIDLOR.BK,TIDLOR.BK,TIDLOR.BK,TIDLOR.BK,TIDLOR.BK,,,,,,,,,
Datetime,,,,,,,,,,,,,,,
2025-10-06 10:00:00+07:00,20.299999237060547,20.299999237060547,20.299999237060547,20.100000381469727,20.100000381469727,0,-0.004926033393071849,-0.004926033393071849,-0.004926033393071849,-0.004926033393071849,0.0,,Neutral,1,1
2025-10-06 10:05:00+07:00,20.200000762939453,20.200000762939453,20.299999237060547,20.200000762939453,20.299999237060547,1100,0.0,0.0,-0.004950513747167595,-0.004950513747167595,0.0049504193239715555,-0.09999847412109375,Negative,2,1
2025-10-06 10:10:00+07:00,20.200000762939453,20.200000762939453,20.200000762939453,20.200000762939453,20.200000762939453,127100,0.0,-0.004950513747167595,-0.004950513747167595,0.0,0.0,0.0,Neutral,3,1
2025-10-06 10:15:00+07:00,20.200000762939453,20.200000762939453,20.200000762939453,20.200000762939453,20.200000762939453,536,-0.004950513747167595,-0.004950513747167595,0.0,0.0,0.0049504193239715555,0.0,Neutral,3,2
2025-10-06 10:20:00+07:00,20.100000381469727,20.100000381469727,20.100000381469727,20.100000381469727,20.100000381469727,10403,0.0,0.004975143262281545,0.0,0.0,0.00995019163159827,-0.10000038146972656,Negative,4,1
2025-10-06 10:25:00+07:00,20.100000381469727,20.100000381469727,20.100000381469727,20.100000381469727,20.100000381469727,20200,0.004975143262281545,0.0,0.004975143262281545,0.00995019163159827,0.004975143262281545,0.0,Neutral,5,1
2025-10-06 10:30:00+07:00,20.200000762939453,20.200000762939453,20.200000762939453,20.100000381469727,20.100000381469727,16300,-0.004950513747167595,0.0,0.0,0.0049504193239715555,0.0049504193239715555,0.10000038146972656,Positive,6,1
2025-10-06 10:35:00+07:00,20.100000381469727,20.100000381469727,20.100000381469727,20.100000381469727,20.100000381469727,12200,0.004975143262281545,0.004975143262281545,0.0,0.00995019163159827,0.004975143262281545,-0.10000038146972656,Negative,7,1
2025-10-06 10:40:00+07:00,20.200000762939453,20.200000762939453,20.200000762939453,20.100000381469727,20.200000762939453,144300,0.0,-0.004950513747167595,0.0049504193239715555,0.0,0.0,0.10000038146972656,Positive,8,1
2025-10-06 10:45:00+07:00,20.200000762939453,20.200000762939453,20.200000762939453,20.100000381469727,20.200000762939453,29816,-0.004950513747167595,0.0049504193239715555,0.0049504193239715555,0.0049504193239715555,0.0049504193239715555,0.0,Neutral,9,1
2025-10-06 10:50:00+07:00,20.100000381469727,20.100000381469727,20.200000762939453,20.100000381469727,20.200000762939453,14800,0.00995019163159827,0.00995019163159827,0.00995019163159827,0.00995019163159827,0.014925334893879816,-0.10000038146972656,Negative,10,1
2025-10-06 10:55:00+07:00,20.299999237060547,20.299999237060547,20.299999237060547,20.100000381469727,20.100000381469727,88500,0.0,0.0,-0.004926033393071849,-0.004926033393071849,0.0,0.1999988555908203,Positive,11,1
2025-10-06 11:00:00+07:00,20.299999237060547,20.299999237060547,20.299999237060547,20.200000762939453,20.200000762939453,37200,0.0,-0.004926033393071849,0.0,0.0,-0.004926033393071849,0.0,Neutral,12,1
2025-10-06 11:05:00+07:00,20.299999237060547,20.299999237060547,20.299999237060547,20.200000762939453,20.200000762939453,2159,-0.004926033393071849,0.0,0.0,-0.004926033393071849,-0.004926033393071849,0.0,Neutral,12,2
2025-10-06 11:10:00+07:00,20.200000762939453,20.200000762939453,20.299999237060547,20.200000762939453,20.200000762939453,40142,0.0049504193239715555,0.0049504193239715555,0.0,0.0,0.0049504193239715555,-0.09999847412109375,Negative,13,1
2025-10-06 11:15:00+07:00,20.299999237060547,20.299999237060547,20.299999237060547,20.299999237060547,20.299999237060547,2900,0.0,-0.004926033393071849,0.0,0.0,0.0,0.09999847412109375,Positive,14,1
2025-10-06 11:20:00+07:00,20.299999237060547,20.299999237060547,20.299999237060547,20.200000762939453,20.200000762939453,700,-0.004926033393071849,0.0,-0.004926033393071849,0.004926127351136067,0.0,0.0,Neutral,15,1
2025-10-06 11:25:00+07:00,20.200000762939453,20.200000762939453,20.299999237060547,20.200000762939453,20.299999237060547,173900,0.0049504193239715555,0.0,0.0,0.0049504193239715555,0.0049504193239715555,-0.09999847412109375,Negative,16,1
2025-10-06 11:30:00+07:00,20.299999237060547,20.299999237060547,20.299999237060547,20.200000762939453,20.200000762939453,2375,-0.004926033393071849,-0.004926033393071849,0.0,-0.004926033393071849,-0.004926033393071849,0.09999847412109375,Positive,17,1
2025-10-06 11:35:00+07:00,20.200000762939453,20.200000762939453,20.200000762939453,20.200000762939453,20.200000762939453,8900,0.0,0.0049504193239715555,0.00990093307113904,0.0,0.0,-0.09999847412109375,Negative,18,1
2025-10-06 11:40:00+07:00,20.200000762939453,20.200000762939453,20.299999237060547,20.200000762939453,20.200000762939453,14500,0.0049504193239715555,0.00990093307113904,0.0049504193239715555,0.0049504193239715555,0.0,0.0,Neutral,19,1
2025-10-06 11:45:00+07:00,20.299999237060547,20.299999237060547,20.399999618530273,20.200000762939453,20.200000762939453,425746,0.004926127351136067,0.0,-0.004926033393071849,0.0,-0.004926033393071849,0.09999847412109375,Positive,20,1
