Price,open,high,low,close,volume,fwd_+1,fwd_+2,fwd_+3,fwd_+6,fwd_+12,change,Type,RunLen
Ticker,bcpg.bk,bcpg.bk,bcpg.bk,bcpg.bk,bcpg.bk,,,,,,,,
Datetime,,,,,,,,,,,,,
2025-10-01 03:00:00+00:00,8.600000381469727,8.600000381469727,8.399999618530273,8.449999809265137,1073800,-0.005917182469050486,-0.011834252077232543,-0.005917182469050486,-0.005917182469050486,-0.005917182469050486,,nan,1
2025-10-01 03:15:00+00:00,8.449999809265137,8.449999809265137,8.300000190734863,8.399999618530273,1258082,-0.005952290396567306,0.0,0.0,0.0,-0.01190469432579655,-0.05000019073486328,Negative,1
2025-10-01 03:30:00+00:00,8.350000381469727,8.399999618530273,8.350000381469727,8.350000381469727,210107,0.005987932308542776,0.005987932308542776,0.005987932308542776,0.005987932308542776,0.005987932308542776,-0.049999237060546875,Negative,2
2025-10-01 03:45:00+00:00,8.350000381469727,8.399999618530273,8.350000381469727,8.399999618530273,327303,0.0,0.0,0.0,0.005952403929229133,0.0,0.049999237060546875,Positive,1
2025-10-01 04:00:00+00:00,8.399999618530273,8.399999618530273,8.399999618530273,8.399999618530273,430019,0.0,0.0,0.0,0.0,-0.005952290396567306,0.0,nan,1
2025-10-01 04:15:00+00:00,8.399999618530273,8.449999809265137,8.399999618530273,8.399999618530273,136500,0.0,0.0,0.0,0.0,0.0,0.0,nan,2
2025-10-01 04:30:00+00:00,8.399999618530273,8.449999809265137,8.399999618530273,8.399999618530273,34900,0.0,0.0,0.005952403929229133,0.0,-0.005952290396567306,0.0,nan,3
2025-10-01 04:45:00+00:00,8.399999618530273,8.449999809265137,8.399999618530273,8.399999618530273,79658,0.0,0.005952403929229133,0.0,-0.01190469432579655,-0.005952290396567306,0.0,nan,4
2025-10-01 05:00:00+00:00,8.399999618530273,8.449999809265137,8.399999618530273,8.399999618530273,40335,0.005952403929229133,0.0,0.0,0.0,-0.01190469432579655,0.0,nan,5
2025-10-01 05:15:00+00:00,8.399999618530273,8.449999809265137,8.399999618530273,8.449999809265137,529365,-0.005917182469050486,-0.005917182469050486,-0.005917182469050486,-0.005917182469050486,-0.011834252077232543,0.05000019073486328,Positive,1
2025-10-01 06:45:00+00:00,8.449999809265137,8.449999809265137,8.399999618530273,8.399999618530273,246100,0.0,0.0,-0.01190469432579655,-0.005952290396567306,0.0,-0.05000019073486328,Negative,1
2025-10-01 07:00:00+00:00,8.350000381469727,8.399999618530273,8.350000381469727,8.399999618530273,289800,0.0,-0.01190469432579655,0.0,0.0,-0.005952290396567306,0.0,nan,1
2025-10-01 07:15:00+00:00,8.399999618530273,8.449999809265137,8.399999618530273,8.399999618530273,276500,-0.01190469432579655,0.0,0.0,-0.005952290396567306,0.0,0.0,nan,2
2025-10-01 07:30:00+00:00,8.399999618530273,8.399999618530273,8.300000190734863,8.300000190734863,482230,0.012048123553905166,0.012048123553905166,0.006024119227211244,0.006024119227211244,0.012048123553905166,-0.09999942779541016,Negative,1
2025-10-01 07:45:00+00:00,8.300000190734863,8.449999809265137,8.300000190734863,8.399999618530273,345308,0.0,-0.005952290396567306,0.0,-0.01190469432579655,0.005952403929229133,0.09999942779541016,Positive,1
2025-10-01 08:00:00+00:00,8.399999618530273,8.449999809265137,8.399999618530273,8.399999618530273,16842,-0.005952290396567306,0.0,-0.005952290396567306,-0.005952290396567306,0.005952403929229133,0.0,nan,1
2025-10-01 08:15:00+00:00,8.399999618530273,8.399999618530273,8.350000381469727,8.350000381469727,1099705,0.005987932308542776,0.0,0.0,0.005987932308542776,0.011975978829573242,-0.049999237060546875,Negative,1
2025-10-01 08:30:00+00:00,8.350000381469727,8.399999618530273,8.350000381469727,8.399999618530273,174993,-0.005952290396567306,-0.005952290396567306,-0.01190469432579655,-0.005952290396567306,0.005952403929229133,0.049999237060546875,Positive,1
2025-10-01 08:45:00+00:00,8.399999618530273,8.399999618530273,8.350000381469727,8.350000381469727,70009,0.0,-0.005988046521030466,0.0,0.005987932308542776,0.011975978829573242,-0.049999237060546875,Negative,1
2025-10-01 09:00:00+00:00,8.399999618530273,8.399999618530273,8.300000190734863,8.350000381469727,654617,-0.005988046521030466,0.0,0.005987932308542776,0.005987932308542776,0.011975978829573242,0.0,nan,1
2025-10-01 09:15:00+00:00,8.300000190734863,8.350000381469727,8.25,8.300000190734863,546200,0.006024119227211244,0.012048123553905166,0.006024119227211244,0.01807224278111641,0.01807224278111641,-0.05000019073486328,Negative,1
