Date,timestamp_bkk,ticker,type,close,volume,detail
2025-08-29,2025-08-29 16:25,AEONTS.BK,VOLATILITY_BREAK,110.0,4200,TR 1.0000 > 2.0×ATR(20) 0.4000
2025-08-29,2025-08-29 16:25,BLA.BK,VOLATILITY_BREAK,17.600000381469727,24000,TR 0.1000 > 2.0×ATR(20) 0.0400
2025-08-29,2025-08-29 16:25,CPALL.BK,VOLUME_SPIKE,44.0,4278806,"Vol 4,278,806 > 3.0×avg(20) ~ 1,414,725"
2025-08-29,2025-08-29 16:25,CPALL.BK,PRICE_VOLUME_DIVERGENCE,44.0,4278806,|ret| 0.0000% < 0.15% + volume spike
2025-08-29,2025-08-29 16:25,CPN.BK,VOLUME_SPIKE,51.75,896801,"Vol 896,801 > 3.0×avg(20) ~ 244,498"
2025-08-29,2025-08-29 16:25,ITC.BK,VOLATILITY_BREAK,14.5,128800,TR 0.2000 > 2.0×ATR(20) 0.0900
2025-08-29,2025-08-29 16:25,MOSHI.BK,VOLATILITY_BREAK,40.5,4700,TR 0.5000 > 2.0×ATR(20) 0.2250
2025-08-29,2025-08-29 16:25,RATCH.BK,VOLATILITY_BREAK,27.0,52700,TR 0.5000 > 2.0×ATR(20) 0.2250
2025-08-29,2025-08-29 16:25,STA.BK,VOLATILITY_BREAK,12.100000381469727,158400,TR 0.2000 > 2.0×ATR(20) 0.0600
2025-08-29,2025-08-29 16:25,STGT.BK,VOLATILITY_BREAK,6.349999904632568,54400,TR 0.0500 > 2.0×ATR(20) 0.0250
2025-08-29,2025-08-29 16:25,TASCO.BK,VOLUME_SPIKE,14.300000190734863,106400,"Vol 106,400 > 3.0×avg(20) ~ 22,740"
2025-08-29,2025-08-29 16:25,TRUE.BK,VOLUME_SPIKE,11.5,11323700,"Vol 11,323,700 > 3.0×avg(20) ~ 3,480,506"
2025-08-29,2025-08-29 16:25,TRUE.BK,PRICE_VOLUME_DIVERGENCE,11.5,11323700,|ret| 0.0000% < 0.15% + volume spike
2025-08-29,2025-08-29 16:25,AEONTS.BK,VOLATILITY_BREAK,110.0,4200,TR 1.0000 > 2.0×ATR(20) 0.4000
2025-09-01,2025-09-01 10:00,AOT.BK,VOLATILITY_BREAK,35.25,0,TR 1.0000 > 2.0×ATR(20) 0.3500
2025-09-01,2025-09-01 10:00,BLA.BK,VOLATILITY_BREAK,17.799999237060547,0,TR 0.2000 > 2.0×ATR(20) 0.0500
2025-09-01,2025-09-01 10:00,CPN.BK,VOLATILITY_BREAK,51.0,0,TR 0.7500 > 2.0×ATR(20) 0.3500
