Date,timestamp_bkk,ticker,type,close,volume,detail,fwd_+1,fwd_+2,fwd_+3,fwd_+6,fwd_+12
2025-09-30,2025-09-30 16:25,MOSHI.BK,VOLATILITY_BREAK,41.25,18300,TR 0.5000 > 2.0×ATR(20) 0.0875,,,,,
2025-10-01,2025-10-01 10:10,IVL.BK,VOLUME_SPIKE,22.299999237060547,529700,"Vol 529,700 > 3.0×avg(20) ~ 143,396",,,
2025-10-01,2025-10-01 10:10,IVL.BK,VOLATILITY_BREAK,22.299999237060547,529700,TR 0.2000 > 2.0×ATR(20) 0.0900,,,
2025-10-01,2025-10-01 10:10,MOSHI.BK,VOLATILITY_BREAK,41.0,0,TR 0.2500 > 2.0×ATR(20) 0.1000,,,
2025-10-01,2025-10-01 10:10,PR9.BK,VOLUME_SPIKE,22.799999237060547,116500,"Vol 116,500 > 3.0×avg(20) ~ 22,792",,,
2025-10-01,2025-10-01 10:10,PR9.BK,VOLATILITY_BREAK,22.799999237060547,116500,TR 0.2000 > 2.0×ATR(20) 0.0900,,,
2025-10-01,2025-10-01 10:10,PTTGC.BK,VOLUME_SPIKE,25.5,1443637,"Vol 1,443,637 > 3.0×avg(20) ~ 419,920",,,
2025-10-01,2025-10-01 10:10,QH.BK,VOLATILITY_BREAK,1.350000023841858,43800,TR 0.0100 > 2.0×ATR(20) 0.0040,,,
2025-10-01,2025-10-01 10:10,SCGP.BK,VOLUME_SPIKE,18.899999618530273,586324,"Vol 586,324 > 3.0×avg(20) ~ 164,206",,,
2025-10-01,2025-10-01 10:10,SCGP.BK,PRICE_VOLUME_DIVERGENCE,18.899999618530273,586324,|ret| 0.0000% < 0.15% + volume spike,,,
2025-10-01,2025-10-01 10:10,TOP.BK,VOLATILITY_BREAK,35.5,44000,TR 0.5000 > 2.0×ATR(20) 0.2125,,,
2025-10-01,2025-10-01 10:10,TTB.BK,VOLUME_SPIKE,1.899999976158142,51686001,"Vol 51,686,001 > 3.0×avg(20) ~ 4,349,531",,,
2025-10-01,2025-10-01 10:10,TU.BK,VOLUME_SPIKE,12.800000190734863,1448346,"Vol 1,448,346 > 3.0×avg(20) ~ 249,675",,,
2025-10-01,2025-10-01 10:15,QH.BK,VOLATILITY_BREAK,1.3600000143051147,0,TR 0.0100 > 2.0×ATR(20) 0.0045,,,
2025-10-01,2025-10-01 10:15,AOT.BK,VOLUME_SPIKE,40.75,1812450,"Vol 1,812,450 > 3.0×avg(20) ~ 594,506",,,
2025-10-01,2025-10-01 10:15,AOT.BK,PRICE_VOLUME_DIVERGENCE,40.75,1812450,|ret| 0.0000% < 0.15% + volume spike,,,
2025-10-01,2025-10-01 14:30,IVL.BK,VOLATILITY_BREAK,22.0,36200,TR 0.1000 > 2.0×ATR(20) 0.0300,,,,,
2025-10-01,2025-10-01 14:45,AMATA.BK,VOLUME_SPIKE,16.100000381469727,236900,"Vol 236,900 > 3.0×avg(20) ~ 54,020",,,,,
2025-10-01,2025-10-01 14:45,AMATA.BK,PRICE_VOLUME_DIVERGENCE,16.100000381469727,236900,|ret| 0.0000% < 0.15% + volume spike,,,,,
2025-10-01,2025-10-01 14:45,AURA.BK,VOLATILITY_BREAK,14.600000381469727,0,TR 0.1000 > 2.0×ATR(20) 0.0300,,,,,
2025-10-01,2025-10-01 14:45,BCPG.BK,VOLATILITY_BREAK,8.399999618530273,178100,TR 0.1000 > 2.0×ATR(20) 0.0325,,,,,
2025-10-01,2025-10-01 14:45,BTS.BK,VOLUME_SPIKE,3.0999999046325684,1477100,"Vol 1,477,100 > 3.0×avg(20) ~ 247,720",,,,,
2025-10-01,2025-10-01 15:45,IVL.BK,VOLATILITY_BREAK,22.0,500,TR 0.1000 > 2.0×ATR(20) 0.0350,,,,,
