Date,timestamp_bkk,ticker,type,close,volume,detail
2025-09-02,2025-09-02 10:35,JTS.BK,VOLATILITY_BREAK,30.5,10200,TR 0.2500 > 2.0×ATR(20) 0.1125
2025-09-02,2025-09-02 10:35,SJWD.BK,VOLATILITY_BREAK,9.949999809265137,59700,TR 0.1500 > 2.0×ATR(20) 0.0625
2025-09-02,2025-09-02 10:35,STA.BK,VOLUME_SPIKE,11.899999618530273,241800,"Vol 241,800 > 3.0×avg(20) ~ 65,033"
2025-09-02,2025-09-02 10:35,STA.BK,PRICE_VOLUME_DIVERGENCE,11.899999618530273,241800,|ret| 0.0000% < 0.15% + volume spike
2025-09-02,2025-09-02 10:45,AEONTS.BK,VOLATILITY_BREAK,109.0,7700,TR 1.0000 > 2.0×ATR(20) 0.4250
2025-09-02,2025-09-02 10:50,CCET.BK,VOLATILITY_BREAK,5.849999904632568,0,TR 0.1000 > 2.0×ATR(20) 0.0375
2025-09-02,2025-09-02 10:55,MOSHI.BK,VOLATILITY_BREAK,40.25,0,TR 0.5000 > 2.0×ATR(20) 0.1125
2025-09-02,2025-09-02 10:55,TASCO.BK,VOLATILITY_BREAK,14.600000381469727,0,TR 0.1000 > 2.0×ATR(20) 0.0400
2025-09-02,2025-09-02 11:00,SPRC.BK,VOLUME_SPIKE,4.800000190734863,4279321,"Vol 4,279,321 > 3.0×avg(20) ~ 1,272,257"
2025-09-02,2025-09-02 11:00,SPRC.BK,PRICE_VOLUME_DIVERGENCE,4.800000190734863,4279321,|ret| 0.0000% < 0.15% + volume spike
2025-09-02,2025-09-02 11:00,TASCO.BK,VOLATILITY_BREAK,14.5,0,TR 0.1000 > 2.0×ATR(20) 0.0450
2025-09-02,2025-09-02 11:00,MBK.BK,VOLATILITY_BREAK,17.399999618530273,0,TR 0.1000 > 2.0×ATR(20) 0.0300
2025-09-02,2025-09-02 11:10,MBK.BK,VOLATILITY_BREAK,17.5,0,TR 0.1000 > 2.0×ATR(20) 0.0300
2025-09-02,2025-09-02 11:15,OSP.BK,VOLUME_SPIKE,16.399999618530273,294700,"Vol 294,700 > 3.0×avg(20) ~ 55,833"
2025-09-02,2025-09-02 11:15,OSP.BK,PRICE_VOLUME_DIVERGENCE,16.399999618530273,294700,|ret| 0.0000% < 0.15% + volume spike
2025-09-02,2025-09-02 12:25,BJC.BK,VOLATILITY_BREAK,17.5,261315,TR 0.2000 > 2.0×ATR(20) 0.0750
2025-09-02,2025-09-02 12:25,CENTEL.BK,VOLATILITY_BREAK,29.0,200,TR 0.2500 > 2.0×ATR(20) 0.0500
2025-09-02,2025-09-02 12:25,ERW.BK,VOLATILITY_BREAK,2.4600000381469727,41100,TR 0.0200 > 2.0×ATR(20) 0.0090
2025-09-02,2025-09-02 12:25,JMT.BK,VOLATILITY_BREAK,11.699999809265137,13700,TR 0.1000 > 2.0×ATR(20) 0.0450
2025-09-02,2025-09-02 12:25,MEGA.BK,VOLATILITY_BREAK,28.25,500,TR 0.2500 > 2.0×ATR(20) 0.1125
2025-09-02,2025-09-02 12:25,MOSHI.BK,VOLATILITY_BREAK,40.0,300,TR 0.2500 > 2.0×ATR(20) 0.1125
2025-09-02,2025-09-02 12:25,TASCO.BK,VOLUME_SPIKE,14.5,104320,"Vol 104,320 > 3.0×avg(20) ~ 13,292"
2025-09-02,2025-09-02 12:25,TASCO.BK,PRICE_VOLUME_DIVERGENCE,14.5,104320,|ret| 0.0000% < 0.15% + volume spike
2025-09-02,2025-09-02 12:25,WHAUP.BK,VOLATILITY_BREAK,3.940000057220459,21400,TR 0.0200 > 2.0×ATR(20) 0.0090
2025-09-02,2025-09-02 13:55,JMT.BK,VOLATILITY_BREAK,11.800000190734863,0,TR 0.1000 > 2.0×ATR(20) 0.0500
2025-09-02,2025-09-02 13:55,JTS.BK,VOLATILITY_BREAK,30.75,4500,TR 0.2500 > 2.0×ATR(20) 0.0875
