timestamp_bkk,ticker,type,close,volume,detail
2025-08-27 14:00,BANPU.BK,VOLUME_SPIKE,4.78000020980835,4309529,"Vol 4,309,529 > 3.0×avg(20) ~ 290,982"
2025-08-27 14:00,BANPU.BK,VOLATILITY_BREAK,4.78000020980835,4309529,TR 0.0600 > 2.0×ATR(20) 0.0180
2025-08-27 14:00,BEM.BK,VOLUME_SPIKE,5.099999904632568,1367400,"Vol 1,367,400 > 3.0×avg(20) ~ 177,139"
2025-08-27 14:00,BGRIM.BK,VOLUME_SPIKE,11.899999618530273,1851600,"Vol 1,851,600 > 3.0×avg(20) ~ 255,147"
2025-08-27 14:00,GLOBAL.BK,VOLATILITY_BREAK,6.349999904632568,0,TR 0.0500 > 2.0×ATR(20) 0.0200
2025-08-27 14:00,OSP.BK,VOLUME_SPIKE,17.100000381469727,579500,"Vol 579,500 > 3.0×avg(20) ~ 60,550"
2025-08-27 14:00,TOP.BK,VOLUME_SPIKE,32.0,534600,"Vol 534,600 > 3.0×avg(20) ~ 89,072"
2025-08-27 14:00,TOP.BK,PRICE_VOLUME_DIVERGENCE,32.0,534600,|ret| 0.0000% < 0.15% + volume spike
2025-08-27 14:00,TTB.BK,VOLUME_SPIKE,1.9199999570846558,3317991,"Vol 3,317,991 > 3.0×avg(20) ~ 836,600"
2025-08-27 14:00,TTB.BK,PRICE_VOLUME_DIVERGENCE,1.9199999570846558,3317991,|ret| 0.0000% < 0.15% + volume spike
2025-08-27 14:05,GLOBAL.BK,VOLATILITY_BREAK,6.349999904632568,0,TR 0.0500 > 2.0×ATR(20) 0.0225
2025-08-27 15:30,TTB.BK,VOLUME_SPIKE,1.9199999570846558,23080146,"Vol 23,080,146 > 3.0×avg(20) ~ 3,438,357"
2025-08-27 15:40,GLOBAL.BK,VOLATILITY_BREAK,6.25,0,TR 0.0500 > 2.0×ATR(20) 0.0175
2025-08-27 15:45,AWC.BK,VOLATILITY_BREAK,2.359999895095825,1200,TR 0.0200 > 2.0×ATR(20) 0.0090
2025-08-27 15:50,AWC.BK,VOLUME_SPIKE,2.359999895095825,1890400,"Vol 1,890,400 > 3.0×avg(20) ~ 200,872"
2025-08-27 15:50,AWC.BK,VOLATILITY_BREAK,2.359999895095825,1890400,TR 0.0400 > 2.0×ATR(20) 0.0110
2025-08-27 15:50,BGRIM.BK,VOLUME_SPIKE,11.800000190734863,507900,"Vol 507,900 > 3.0×avg(20) ~ 114,997"
2025-08-27 15:50,BGRIM.BK,VOLATILITY_BREAK,11.800000190734863,507900,TR 0.2000 > 2.0×ATR(20) 0.0750
2025-08-27 15:50,BTS.BK,VOLUME_SPIKE,3.240000009536743,11424329,"Vol 11,424,329 > 3.0×avg(20) ~ 1,794,943"
2025-08-27 15:50,BTS.BK,PRICE_VOLUME_DIVERGENCE,3.240000009536743,11424329,|ret| 0.0000% < 0.15% + volume spike
2025-08-27 15:50,COM7.BK,VOLUME_SPIKE,26.0,443805,"Vol 443,805 > 3.0×avg(20) ~ 92,433"
2025-08-27 15:50,COM7.BK,PRICE_VOLUME_DIVERGENCE,26.0,443805,|ret| 0.0000% < 0.15% + volume spike
2025-08-27 15:50,GLOBAL.BK,VOLATILITY_BREAK,6.25,51200,TR 0.0500 > 2.0×ATR(20) 0.0225
2025-08-27 15:50,GPSC.BK,VOLUME_SPIKE,40.0,77800,"Vol 77,800 > 3.0×avg(20) ~ 23,772"
2025-08-27 15:50,GPSC.BK,PRICE_VOLUME_DIVERGENCE,40.0,77800,|ret| 0.0000% < 0.15% + volume spike
2025-08-27 15:50,PTTGC.BK,VOLUME_SPIKE,26.25,1385405,"Vol 1,385,405 > 3.0×avg(20) ~ 262,499"
2025-08-27 15:50,PTTGC.BK,PRICE_VOLUME_DIVERGENCE,26.25,1385405,|ret| 0.0000% < 0.15% + volume spike
